"","stratum","cluster","y","Race","LGrp","Land"
"1",1,1,39293.7353193905,1,2,1
"2",1,1,680.629648726317,0,0,1
"3",1,1,14586.6143147615,1,2,0
"4",1,1,2702.00472740593,1,2,0
"5",1,1,7876.23187659505,0,1,0
"6",1,1,9142.23488777757,1,0,1
"7",1,1,1866.89928087288,0,1,0
"8",1,1,3942.18518939497,0,0,0
"9",1,1,5761.27392118367,1,2,0
"10",1,1,3222.04811941296,0,2,0
"11",1,1,33291.6185715919,1,0,0
"12",1,1,9328.54998450851,1,0,1
"13",1,1,7346.1667096267,1,0,0
"14",1,1,2409.81088923055,0,2,0
"15",1,1,2626.03396570173,0,2,0
"16",1,1,1509.77853359875,1,1,1
"17",1,1,8938.91221872254,0,0,0
"18",1,1,3969.43437866629,1,1,1
"19",1,1,6708.90242880725,0,0,0
"20",1,1,2632.21355274264,0,0,0
"21",1,1,3737.38702701995,0,2,1
"22",1,1,2108.24366998788,0,1,1
"23",1,1,12868.4034435336,1,1,0
"24",1,1,2183.29727390844,1,1,0
"25",1,1,14745.4843945414,1,1,1
"26",1,1,2457.40254499242,0,1,1
"27",1,1,8901.48814958498,1,1,0
"28",1,1,1941.80410932233,1,2,1
"29",1,1,5616.254947734,0,2,1
"30",1,1,4455.62181249768,0,0,0
"31",1,1,1545.18374496282,0,2,0
"32",1,1,11141.2549550418,0,2,1
"33",1,1,3916.9898164246,0,1,1
"34",1,1,27316.2659880727,1,0,1
"35",1,1,4745.67550954175,1,0,0
"36",1,1,97899.9809875829,1,0,1
"37",1,1,1103.06737881751,0,1,1
"38",1,1,12248.6894488339,1,2,0
"39",1,1,2124.80458039466,0,0,0
"40",1,1,6695.31286326154,1,2,1
"41",1,2,13944.3689243813,1,2,0
"42",1,2,2056.38639089604,1,1,0
"43",1,2,7998.41657850991,1,2,0
"44",1,2,1855.25690330819,0,0,0
"45",1,2,461.099032090142,1,1,1
"46",1,2,571.486822788352,0,1,0
"47",1,2,345.38573558516,0,1,0
"48",1,2,3462.71549407385,0,0,1
"49",1,2,2957.22622106273,1,0,0
"50",1,2,9098.22305425513,1,2,0
"51",1,2,14939.2069442118,0,1,1
"52",1,2,7832.39375533089,1,1,1
"53",1,2,342.995588820642,0,0,1
"54",1,2,14557.6343894549,0,1,0
"55",1,2,10560.6040911967,1,0,0
"56",1,2,1471.82986619277,1,1,1
"57",1,2,1927.46516183432,0,1,1
"58",1,2,3462.5012228106,0,2,1
"59",1,2,3335.92019333195,0,1,1
"60",1,2,342.099050182045,0,0,0
"61",1,2,1912.09001140299,0,1,1
"62",1,2,1526.70955862295,0,2,0
"63",1,2,2527.40629509208,0,2,0
"64",1,2,3600.029752203,1,1,0
"65",1,2,2266.98769642702,0,1,1
"66",1,2,2111.84332168096,1,2,1
"67",1,2,7227.54979646844,1,2,0
"68",1,2,10165.6068211606,1,2,1
"69",1,2,1048.24628822242,0,2,0
"70",1,2,1814.4666646974,0,0,0
"71",1,2,12823.6499852299,1,2,0
"72",1,2,1397.71202445839,0,2,0
"73",1,2,1038.96978624722,1,0,1
"74",1,2,2350.27647019751,0,1,1
"75",1,2,10772.5818624002,0,2,1
"76",1,2,2876.74425235384,1,1,1
"77",1,2,1911.74928924108,0,1,0
"78",1,2,3160.61429046904,0,1,0
"79",1,2,2706.01079841312,1,2,1
"80",1,2,698.586067075105,0,0,0
"81",1,3,1292.31048349077,0,1,0
"82",1,3,4358.23275047245,0,0,1
"83",1,3,31147.425130331,0,1,1
"84",1,3,2889.94485637112,0,0,0
"85",1,3,21001.1788412186,1,1,0
"86",1,3,22724.3263347357,0,1,1
"87",1,3,48861.512825227,1,0,1
"88",1,3,7058.17956264471,0,0,0
"89",1,3,1637.64700134199,0,0,1
"90",1,3,8036.18394579384,1,2,0
"91",1,3,1998.0643387639,0,1,1
"92",1,3,7466.82053632821,1,2,0
"93",1,3,13019.5079161387,1,0,0
"94",1,3,18476.4902008463,0,1,0
"95",1,3,5373.19357113992,1,0,1
"96",1,3,10610.3400047805,0,1,0
"97",1,3,2455.53105335659,1,0,1
"98",1,3,2452.43952561884,0,0,0
"99",1,3,3506.05112486382,1,1,1
"100",1,3,2384.88817990517,0,1,1
"101",1,3,435.816093613576,0,1,0
"102",1,3,40255.4908633672,1,0,1
"103",1,3,5265.29114296849,0,0,1
"104",1,3,3073.07747665984,0,1,1
"105",1,3,6006.23965605417,0,1,0
"106",1,3,9646.03390124584,1,0,0
"107",1,3,342.101495884755,0,2,1
"108",1,3,2754.51964368048,0,1,1
"109",1,3,4927.16031370254,0,2,0
"110",1,3,2992.84011212909,1,1,1
"111",1,3,3030.77050634419,0,0,1
"112",1,3,3370.7541433381,1,2,1
"113",1,3,4139.17046881475,1,1,1
"114",1,3,458.474906099427,0,2,1
"115",1,3,8772.10317366506,0,2,1
"116",1,3,57617.4604963978,1,0,0
"117",1,3,1756.37635756987,1,1,1
"118",1,3,1612.96728755551,0,1,1
"119",1,3,3344.70327132619,0,1,0
"120",1,3,22950.2591683438,0,1,0
"121",1,4,8496.16250647814,1,1,1
"122",1,4,1745.88434896395,0,2,0
"123",1,4,822.832498677844,1,2,0
"124",1,4,8678.4470822198,0,1,1
"125",1,4,6870.29859083857,1,1,1
"126",1,4,5338.72228757847,0,0,1
"127",1,4,2453.97535248262,0,0,1
"128",1,4,4724.72119165698,1,0,0
"129",1,4,49118.7653783165,1,1,0
"130",1,4,4824.30013207387,1,1,0
"131",1,4,2602.63862925766,0,0,1
"132",1,4,3153.81874779484,0,0,1
"133",1,4,9273.30147382743,0,2,1
"134",1,4,3559.80555415748,0,0,0
"135",1,4,35011.5514313546,1,1,0
"136",1,4,9828.02974481475,1,0,0
"137",1,4,11577.3535996829,1,1,0
"138",1,4,5934.02426035819,0,0,0
"139",1,4,24052.0203215374,0,2,0
"140",1,4,2153.48087679807,1,1,0
"141",1,4,8029.65364477319,1,1,1
"142",1,4,1264.73309581362,0,1,0
"143",1,4,2995.41608856072,0,2,0
"144",1,4,2673.22086496521,0,0,0
"145",1,4,30061.5258358974,1,1,0
"146",1,4,3484.87366367939,1,1,1
"147",1,4,3937.76741641189,0,2,0
"148",1,4,1892.20223269798,0,1,1
"149",1,4,1229.42044054842,0,2,0
"150",1,4,2027.31552242631,0,2,0
"151",1,4,3100.90663200069,0,2,1
"152",1,4,2182.16360872613,0,1,1
"153",1,4,3882.09050407208,1,2,0
"154",1,4,3891.31954732621,0,0,0
"155",1,4,8803.88223629824,1,0,1
"156",1,4,1552.82821463933,0,2,0
"157",1,4,2075.67852731999,0,1,0
"158",1,4,4224.92551116644,0,0,1
"159",1,4,2107.1494904801,0,1,1
"160",1,4,23425.1392054757,0,1,1
"161",1,5,7153.22812866855,0,2,1
"162",1,5,13538.8177536436,1,0,1
"163",1,5,4376.83679201007,1,2,0
"164",1,5,13329.2408694504,0,1,1
"165",1,5,6372.80919687161,1,1,0
"166",1,5,29931.9230293941,1,1,1
"167",1,5,623.802304680663,0,2,0
"168",1,5,22054.8118676976,1,0,0
"169",1,5,4845.31374105147,0,0,0
"170",1,5,10208.3778149338,0,1,1
"171",1,5,3028.53288106295,1,0,1
"172",1,5,2021.1872884154,1,2,0
"173",1,5,12140.5138038977,0,1,0
"174",1,5,22344.7765203469,1,2,0
"175",1,5,11592.8595395371,0,2,0
"176",1,5,2188.09946222937,1,2,1
"177",1,5,4917.34824449346,0,0,1
"178",1,5,15759.2685737529,0,2,1
"179",1,5,30261.5483857514,1,0,1
"180",1,5,4576.85858855854,0,1,0
"181",1,5,24716.5436451845,0,0,0
"182",1,5,10708.7812695083,1,1,0
"183",1,5,23409.6127254316,0,2,1
"184",1,5,9205.06948608144,1,2,0
"185",1,5,26593.3553027655,0,0,0
"186",1,5,2419.41312876052,1,1,0
"187",1,5,5701.33519531273,1,1,0
"188",1,5,5401.13671260085,1,0,1
"189",1,5,2489.7379985691,1,2,0
"190",1,5,3118.30803997285,0,2,1
"191",1,5,1317.30473817707,0,0,0
"192",1,5,5625.57495510146,0,1,0
"193",1,5,2381.12423186248,0,1,1
"194",1,5,2785.93448921468,0,0,1
"195",1,5,2271.59695115375,0,2,1
"196",1,5,1697.20647758299,0,2,1
"197",1,5,596.823819331785,0,1,1
"198",1,5,7279.02707765862,0,2,1
"199",1,5,6533.55389406482,1,0,0
"200",1,5,39833.960307359,1,2,0
"201",1,6,2070.5298648899,1,0,0
